feature,importance
molecular_weight,0.23209907238204106
freq_C,0.10226641889283337
freq_V,0.09868221219592442
freq_G,0.06160219912477756
freq_W,0.04896483519008461
freq_A,0.04147937042223436
freq_N,0.035431902143035696
freq_R,0.034996442198331916
gravy,0.03202669704051931
freq_H,0.027431588392630574
freq_E,0.025965113132110886
freq_K,0.025459106804537064
freq_S,0.02477977119328865
frac_special,0.021092476641538085
freq_P,0.018539006995950985
sheet_fraction,0.016155751643835762
frac_hydrophilic,0.015709748681947456
freq_Q,0.013970096328875258
instability_index,0.012422234192870616
flexibility_mean,0.01234659509618147
isoelectric_point,0.011693628134055509
freq_M,0.011356989889406826
frac_charged,0.011327281518517392
frac_hydrophobic,0.008430975804095102
frac_polar,0.00835255119297315
freq_I,0.00810429331934021
turn_fraction,0.008095429621113617
helix_fraction,0.005915559153981418
freq_L,0.005058719023343188
freq_F,0.004556820862383096
freq_Y,0.004186853070576876
aromaticity,0.003910076074921112
freq_D,0.0038916039650492046
freq_T,0.0036985796766941348
