Entry,Protein names,EC number,Length,length,freq_A,freq_C,freq_D,freq_E,freq_F,freq_G,freq_H,freq_I,freq_K,freq_L,freq_M,freq_N,freq_P,freq_Q,freq_R,freq_S,freq_T,freq_V,freq_W,freq_Y,frac_hydrophobic,frac_hydrophilic,frac_charged,frac_polar,frac_special,molecular_weight,aromaticity,instability_index,isoelectric_point,gravy,flexibility_mean,helix_fraction,turn_fraction,sheet_fraction
A0R4Q6,Steroid C26-monooxygenase (EC 1.14.15.28) (Cholest-4-en-3-one C26-monooxygenase) (Cholest-4-en-3-one C26-monooxygenase [(25R)-3-oxocholest-4-en-26-oate forming]) (Cholesterol C26-monooxygenase) (Cholesterol C26-monooxygenase [(25R)-3beta-hydroxycholest-5-en-26-oate forming]) (Cytochrome P450 142) (Steroid C27-monooxygenase),1.14.15.28,401,401,0.0798004987531172,0.0149625935162094,0.0972568578553615,0.0623441396508728,0.0473815461346633,0.0648379052369077,0.0174563591022443,0.0349127182044887,0.0224438902743142,0.1097256857855361,0.0473815461346633,0.0324189526184538,0.0573566084788029,0.0224438902743142,0.084788029925187,0.0423940149625935,0.0648379052369077,0.0748129675810473,0.0099750623441396,0.0124688279301745,0.4164588528678304,0.2668329177057356,0.28428927680798,0.1895261845386533,0.1546134663341646,44900.7618000001,0.0698254364089775,43.93044887780548,4.7691553115844725,-0.2057356608478805,0.9982356353255588,0.3216957605985037,0.2942643391521197,0.3541147132169576
A0R4Y3,Steroid C26-monooxygenase (EC 1.14.15.29) (Cholest-4-en-3-one C26-monooxygenase) (Cholest-4-en-3-one C26-monooxygenase [(25S)-3-oxocholest-4-en-26-oate forming]) (Cholesterol C26-monooxygenase) (Cholesterol C26-monooxygenase [(25S)-3beta-hydroxycholest-5-en-26-oate forming]) (Cytochrome P450 125) (Steroid C27-monooxygenase),1.14.15.29,427,427,0.1007025761124121,0.0070257611241217,0.0749414519906323,0.0772833723653395,0.0421545667447306,0.0772833723653395,0.0210772833723653,0.0538641686182669,0.0421545667447306,0.072599531615925,0.0281030444964871,0.0374707259953161,0.063231850117096,0.0351288056206089,0.0585480093676815,0.0515222482435597,0.0515222482435597,0.0702576112412178,0.018735362997658,0.0163934426229508,0.4028103044496487,0.2529274004683841,0.2740046838407494,0.1990632318501171,0.1686182669789227,47105.53180000003,0.0772833723653395,42.1974238875878,4.857596778869628,-0.3461358313817331,1.003458361813625,0.3208430913348946,0.3044496487119438,0.3255269320843091
B6V6V5,"3-ketosteroid-9-alpha-monooxygenase, oxygenase component (3-ketosteroid-9-alpha-hydroxylase, oxygenase component) (KSH) (Androsta-1,4-diene-3,17-dione 9-alpha-hydroxylase) (EC 1.14.15.30) (Rieske-type oxygenase) (RO)",1.14.15.30,378,378,0.0582010582010582,0.0185185185185185,0.0661375661375661,0.0899470899470899,0.0555555555555555,0.0767195767195767,0.0396825396825396,0.0555555555555555,0.0396825396825396,0.0502645502645502,0.0317460317460317,0.0343915343915343,0.0476190476190476,0.0423280423280423,0.0555555555555555,0.0343915343915343,0.0767195767195767,0.0661375661375661,0.0291005291005291,0.0317460317460317,0.3783068783068783,0.2513227513227513,0.291005291005291,0.238095238095238,0.1825396825396825,43506.31250000005,0.1164021164021164,48.39690476190476,5.042607688903809,-0.5164021164021164,0.998678603690799,0.2698412698412699,0.2592592592592592,0.3650793650793651
B6V6V6,"3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component (3-ketosteroid-9-alpha-hydroxylase, ferredoxin reductase component) (KSH) (Androsta-1,4-diene-3,17-dione 9-alpha-hydroxylase) (EC 1.14.15.30) (Rieske-type oxygenase) (RO)",1.14.15.30,351,351,0.0968660968660968,0.0256410256410256,0.0712250712250712,0.074074074074074,0.037037037037037,0.0712250712250712,0.0199430199430199,0.0398860398860398,0.037037037037037,0.0854700854700854,0.017094017094017,0.017094017094017,0.0626780626780626,0.0284900284900284,0.0427350427350427,0.0683760683760683,0.0683760683760683,0.1025641025641025,0.0085470085470085,0.0256410256410256,0.4131054131054131,0.225071225071225,0.245014245014245,0.2336182336182336,0.1794871794871795,37886.447100000005,0.0712250712250712,37.1954415954416,4.602844429016113,-0.0313390313390313,0.9990688526872736,0.3105413105413105,0.2905982905982905,0.3675213675213675
D0E8I5,2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) (EC 1.13.11.78) (Di-iron oxygenase) (Nonheme iron-dependent oxygenase),1.13.11.78,190,190,0.0684210526315789,0.0210526315789473,0.0684210526315789,0.1,0.0263157894736842,0.0789473684210526,0.0368421052631578,0.0263157894736842,0.0684210526315789,0.1157894736842105,0.031578947368421,0.0368421052631578,0.0157894736842105,0.0368421052631578,0.0578947368421052,0.0894736842105263,0.0157894736842105,0.0473684210526315,0.0105263157894736,0.0473684210526315,0.3736842105263158,0.2947368421052631,0.331578947368421,0.2473684210526315,0.1526315789473684,21585.9808,0.0842105263157894,36.45368421052631,5.400352287292479,-0.6363157894736844,1.0052713101815312,0.3842105263157894,0.2894736842105263,0.2894736842105262
F1CMX0,"3-ketosteroid-9-alpha-monooxygenase, oxygenase component (3-ketosteroid-9-alpha-hydroxylase, oxygenase component) (KSH) (Androsta-1,4-diene-3,17-dione 9-alpha-hydroxylase) (EC 1.14.15.30) (Rieske-type oxygenase) (RO)",1.14.15.30,394,394,0.0812182741116751,0.0177664974619289,0.0812182741116751,0.0710659898477157,0.0507614213197969,0.0710659898477157,0.0304568527918781,0.0532994923857868,0.0431472081218274,0.0456852791878172,0.0279187817258883,0.032994923857868,0.0532994923857868,0.0380710659898477,0.0634517766497461,0.0482233502538071,0.0532994923857868,0.0685279187817258,0.0304568527918781,0.0380710659898477,0.3959390862944162,0.2588832487309644,0.2893401015228426,0.2284263959390862,0.1725888324873096,45019.95060000006,0.1192893401015228,51.19776649746192,5.119908714294433,-0.51243654822335,0.9994457019171308,0.2690355329949238,0.2868020304568528,0.3401015228426396
F1CMY8,"3-ketosteroid-9-alpha-monooxygenase, oxygenase component (3-ketosteroid-9-alpha-hydroxylase, oxygenase component) (KSH) (Androsta-1,4-diene-3,17-dione 9-alpha-hydroxylase) (EC 1.14.15.30) (Rieske-type oxygenase) (RO)",1.14.15.30,390,390,0.0794871794871794,0.0153846153846153,0.0794871794871794,0.0769230769230769,0.0435897435897435,0.0743589743589743,0.0256410256410256,0.0589743589743589,0.0435897435897435,0.0512820512820512,0.0179487179487179,0.041025641025641,0.0512820512820512,0.041025641025641,0.0538461538461538,0.0538461538461538,0.0589743589743589,0.0615384615384615,0.0307692307692307,0.041025641025641,0.3846153846153846,0.2538461538461538,0.2794871794871795,0.2512820512820513,0.1666666666666666,44248.68970000005,0.1153846153846153,49.90261538461536,4.814683341979981,-0.5497435897435895,1.0016804149481315,0.2692307692307692,0.3,0.3461538461538461
G3X982,Aldehyde oxidase 3 (EC 1.2.3.1) (Aldehyde oxidase homolog 1) (Azaheterocycle hydroxylase 3) (EC 1.17.3.-),1.17.3.-; 1.2.3.1,1335,1335,0.0771535580524344,0.0284644194756554,0.0449438202247191,0.0666666666666666,0.0404494382022471,0.0779026217228464,0.0187265917602996,0.0689138576779026,0.0576779026217228,0.0823970037453183,0.0269662921348314,0.0359550561797752,0.0531835205992509,0.047191011235955,0.0434456928838951,0.0606741573033707,0.0599250936329588,0.0726591760299625,0.0074906367041198,0.0292134831460674,0.4052434456928839,0.2127340823970037,0.2314606741573033,0.2614232209737828,0.1782771535580524,146900.3687000001,0.0771535580524344,37.68999250936354,6.055592155456543,-0.1105617977528091,0.998833423112835,0.3108614232209738,0.2726591760299625,0.3610486891385768
H9TB17,Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-),1.17.3.-; 1.2.3.1,1332,1332,0.0833333333333333,0.0315315315315315,0.042042042042042,0.0675675675675675,0.033033033033033,0.09009009009009,0.0262762762762762,0.042042042042042,0.045045045045045,0.1021021021021021,0.0277777777777777,0.0247747747747747,0.051051051051051,0.0435435435435435,0.0563063063063063,0.0638138138138138,0.0548048048048048,0.081081081081081,0.0075075075075075,0.0262762762762762,0.4031531531531531,0.2109609609609609,0.2372372372372372,0.2447447447447447,0.1989489489489489,145273.45100000023,0.0668168168168168,45.42201951951984,6.377812385559082,-0.0921171171171176,0.997554295792391,0.3258258258258258,0.2717717717717718,0.3468468468468468
O04121,"Choline monooxygenase, chloroplastic (EC 1.14.15.7)",1.14.15.7,439,439,0.0637813211845102,0.0182232346241457,0.0523917995444191,0.0592255125284738,0.041002277904328,0.061503416856492,0.0364464692482915,0.0523917995444191,0.0523917995444191,0.0637813211845102,0.0227790432801822,0.0546697038724373,0.0728929384965831,0.0341685649202733,0.0318906605922551,0.0842824601366742,0.0637813211845102,0.0660592255125284,0.0182232346241457,0.0501138952164009,0.378132118451025,0.1958997722095672,0.2323462414578587,0.3052391799544419,0.1890660592255125,49213.761200000044,0.1093394077448747,44.19300683371299,5.726551246643068,-0.4268792710706153,1.0009792912513842,0.2619589977220956,0.3257403189066059,0.3553530751708428
